Lunar IPS (LIPS) Version 1.01
Apply IPS Patch Log

Offset    Size    RLE    IPS_File_Range       IPS_File_Size
71130F       1    No     0000354F-00003554        6
711319       1    No     00003555-0000355A        6
71132B       1    No     0000355B-00003560        6
71133C       1    No     00003561-00003566        6
711347       1    No     00003567-0000356C        6
711356       1    No     0000356D-00003572        6
711467       1    No     00003573-00003578        6
7114B4       1    No     00003579-0000357E        6
7114C9       1    No     0000357F-00003584        6
7118D9       1    No     00003585-0000358A        6
711964       1    No     0000358B-00003590        6
711982       5    No     00003591-0000359A        A
711993       7    No     0000359B-000035A6        C
7119B1     CDF    No     000035A7-0000428A      CE4
764E3E     17D    No     0000428B-0000440C      182
764FC3      19    No     0000440D-0000442A       1E
764FE4      18    No     0000442B-00004447       1D
765003      19    No     00004448-00004465       1E
765024     118    No     00004466-00004582      11D
76C231       B    No     00004583-00004592       10
76C37D      17    No     00004593-000045AE       1C
76C39D       C    No     000045AF-000045BF       11
76EF39       2    No     000045C0-000045C6        7
76EF8D       E    No     000045C7-000045D9       13
76EFDD       A    No     000045DA-000045E8        F
77EFA1       3    No     000045E9-000045F0        8
77EFBB       9    No     000045F1-000045FE        E
77EFD0      14    No     000045FF-00004617       19
77EFF4      10    No     00004618-0000462C       15
77F00D      2E    No     0000462D-0000465F       33
77F09F       1    No     00004660-00004665        6
77F0A6      6B    No     00004666-000046D5       70
77F11C      1F    No     000046D6-000046F9       24
77F19E      12    No     000046FA-00004710       17
77F1BC       F    No     00004711-00004724       14
77F1DC       5    No     00004725-0000472E        A
77F21E      1D    No     0000472F-00004750       22
77F29E       1    No     00004751-00004756        6
7802BB       1    No     00004757-0000475C        6
7802D8       2    No     0000475D-00004763        7
78031A       1    No     00004764-00004769        6
78059F       5    No     0000476A-00004773        A
7805BC       8    No     00004774-00004780        D
7805DC       7    No     00004781-0000478C        C
780603       1    No     0000478D-00004792        6
78061C       5    No     00004793-0000479C        A
787FCA      12    No     0000479D-000047B3       17
787FF2       A    No     000047B4-000047C2        F
78800A      10    No     000047C3-000047D7       15
788031       8    No     000047D8-000047E4        D
78803F       D    No     000047E5-000047F6       12
78805C      10    No     000047F7-0000480B       15
788083       5    No     0000480C-00004815        A
7880A0       5    No     00004816-0000481F        A
7AD547       1    No     00004820-00004825        6
7AD54F       1    No     00004826-0000482B        6
7AD557       1    No     0000482C-00004831        6
7AD564       1    No     00004832-00004837        6
7AD56C       1    No     00004838-0000483D        6
7AD574       1    No     0000483E-00004843        6
7F05E8      14    No     00004844-0000485C       19
7F099E      1E    No     0000485D-0000487F       23
8BB11A     27E    No     00004880-00004B02      283
B004E9       A    No     00004B03-00004B11        F
B0050A       B    No     00004B12-00004B21       10
B00549      16    No     00004B22-00004B3C       1B
B01816       E    No     00004B3D-00004B4F       13
B01834       F    No     00004B50-00004B63       14
B01854       F    No     00004B64-00004B77       14
B01875       D    No     00004B78-00004B89       12
B01896       E    No     00004B8A-00004B9C       13
B018B5       F    No     00004B9D-00004BB0       14
B018D4       F    No     00004BB1-00004BC4       14
B018F4       F    No     00004BC5-00004BD8       14
B01917       D    No     00004BD9-00004BEA       12
B01C07       D    No     00004BEB-00004BFC       12
B01C26       9    No     00004BFD-00004C0A        E
B01C44       D    No     00004C0B-00004C1C       12
B01C65       C    No     00004C1D-00004C2D       11
B01C86       2    No     00004C2E-00004C34        7
B01C8E       6    No     00004C35-00004C3F        B
B01CA4       F    No     00004C40-00004C53       14
B01CC6       E    No     00004C54-00004C66       13
B01CE5       E    No     00004C67-00004C79       13
B01D07       1    No     00004C7A-00004C7F        6
B01D0F       5    No     00004C80-00004C89        A
B020DB       9    No     00004C8A-00004C97        E
B020F2      12    No     00004C98-00004CAE       17
B0211A       9    No     00004CAF-00004CBC        E
B02131      12    No     00004CBD-00004CD3       17
B02151       7    No     00004CD4-00004CDF        C
B024C7       D    No     00004CE0-00004CF1       12
B024E6       F    No     00004CF2-00004D05       14
B02505       E    No     00004D06-00004D18       13
B02525       F    No     00004D19-00004D2C       14
B0254C       8    No     00004D2D-00004D39        D
B03DE5      27    No     00004D3A-00004D65       2C
B03E13      31    No     00004D66-00004D9B       36
B03E4A      1A    No     00004D9C-00004DBA       1F
B03E71      13    No     00004DBB-00004DD2       18
B03E91       7    No     00004DD3-00004DDE        C
B03EA0      24    No     00004DDF-00004E07       29
B03ECE      56    No     00004E08-00004E62       5B
B041E5       A    No     00004E63-00004E71        F
B041F6       5    No     00004E72-00004E7B        A
B04205      15    No     00004E7C-00004E95       1A
B04225      12    No     00004E96-00004EAC       17
B04245      12    No     00004EAD-00004EC3       17
B04265       F    No     00004EC4-00004ED7       14
B0428A       A    No     00004ED8-00004EE6        F
B042A6      2D    No     00004EE7-00004F18       32
B042E5       9    Yes    00004F19-00004F20        8
B042EE      32    No     00004F21-00004F57       37
B0ECC5      1A    No     00004F58-00004F76       1F
B0ED05      1F    No     00004F77-00004F9A       24
B0ED45      1B    No     00004F9B-00004FBA       20
B0EE25      1A    No     00004FBB-00004FD9       1F
B0EE65      1F    No     00004FDA-00004FFD       24
B0EEA5      1B    No     00004FFE-0000501D       20
B0F006       D    No     0000501E-0000502F       12
B0F0CA       9    No     00005030-0000503D        E
B0F0D9       7    No     0000503E-00005049        C
B0F105      1A    No     0000504A-00005068       1F
B0F145      1A    No     00005069-00005087       1F
B0F22A       9    No     00005088-00005095        E
B0F239       7    No     00005096-000050A1        C
B0F265       9    Yes    000050A2-000050A9        8
B0F26E      11    No     000050AA-000050BF       16
B0F2A5       9    Yes    000050C0-000050C7        8
B0F2AE      11    No     000050C8-000050DD       16
B33000     200    No     000050DE-000052E2      205
B33200      F8    Yes    000052E3-000052EA        8
B332F8       7    No     000052EB-000052F6        C
B332FF      39    Yes    000052F7-000052FE        8
B33338       6    No     000052FF-00005309        B
B3333E     240    Yes    0000530A-00005311        8
B3357E       1    No     00005312-00005317        6
B3357F     2FA    Yes    00005318-0000531F        8
B33879       2    No     00005320-00005326        7
B3387B     194    Yes    00005327-0000532E        8
B33A0F      AF    No     0000532F-000053E2       B4
B33ABE      49    Yes    000053E3-000053EA        8
B33B07      B6    No     000053EB-000054A5       BB
B33BBD      A0    Yes    000054A6-000054AD        8
B33C5D      23    No     000054AE-000054D5       28
B33C80      18    Yes    000054D6-000054DD        8
B33C98      A8    No     000054DE-0000558A       AD
B33D40      13    Yes    0000558B-00005592        8
B33D53      2D    No     00005593-000055C4       32
B33D80      18    Yes    000055C5-000055CC        8
B33D98      21    No     000055CD-000055F2       26
B33DB9      6E    Yes    000055F3-000055FA        8
B33E27      19    No     000055FB-00005618       1E
B33E40      11    Yes    00005619-00005620        8
B33E51      2F    No     00005621-00005654       34
B33E80      A7    Yes    00005655-0000565C        8
B33F27      19    No     0000565D-0000567A       1E
B33F40      19    Yes    0000567B-00005682        8
B33F59      26    No     00005683-000056AD       2B
B33F7F      10    Yes    000056AE-000056B5        8
B33F8F      6F    No     000056B6-00005729       74
B33FFE     187    Yes    0000572A-00005731        8
B34185     1BB    No     00005732-000058F1      1C0
B34340      20    Yes    000058F2-000058F9        8
B34360      20    No     000058FA-0000591E       25
B34380      2F    Yes    0000591F-00005926        8
B343AF     152    No     00005927-00005A7D      157
B34501      14    Yes    00005A7E-00005A85        8
B34515      2B    No     00005A86-00005AB5       30
B34540      10    Yes    00005AB6-00005ABD        8
B34550      50    No     00005ABE-00005B12       55
B345A0       F    Yes    00005B13-00005B1A        8
B345AF      50    No     00005B1B-00005B6F       55
B345FF      15    Yes    00005B70-00005B77        8
B34614      2C    No     00005B78-00005BA8       31
B34640      10    Yes    00005BA9-00005BB0        8
B34650     120    No     00005BB1-00005CD5      125
B34770      10    Yes    00005CD6-00005CDD        8
B34780      16    Yes    00005CDE-00005CE5        8
B34796      69    No     00005CE6-00005D53       6E
B347FF     105    Yes    00005D54-00005D5B        8
B34904      38    No     00005D5C-00005D98       3D
B3493C      27    Yes    00005D99-00005DA0        8
B34963     61C    No     00005DA1-000063C1      621
B34F7F     105    Yes    000063C2-000063C9        8
B35084      24    No     000063CA-000063F2       29
B350A8      18    Yes    000063F3-000063FA        8
B350C0      28    No     000063FB-00006427       2D
B350E8      18    Yes    00006428-0000642F        8
B35100      22    No     00006430-00006456       27
B35122      1E    Yes    00006457-0000645E        8
B35140       F    Yes    0000645F-00006466        8
B3514F      17    No     00006467-00006482       1C
B35166      1A    Yes    00006483-0000648A        8
B35180      28    No     0000648B-000064B7       2D
B351A8      18    Yes    000064B8-000064BF        8
B351C0      28    No     000064C0-000064EC       2D
B351E8      18    Yes    000064ED-000064F4        8
B35200      22    No     000064F5-0000651B       27
B35222      1E    Yes    0000651C-00006523        8
B35240      24    No     00006524-0000654C       29
B35264      5D    Yes    0000654D-00006554        8
B352C1      27    No     00006555-00006580       2C
B352E8      18    Yes    00006581-00006588        8
B35300      21    No     00006589-000065AE       26
B35321      1F    Yes    000065AF-000065B6        8
B35340      27    No     000065B7-000065E2       2C
B35367      19    Yes    000065E3-000065EA        8
B35380      25    No     000065EB-00006614       2A
B353A5      1B    Yes    00006615-0000661C        8
B353C0      24    No     0000661D-00006645       29
B353E4      1C    Yes    00006646-0000664D        8
B35400      30    No     0000664E-00006682       35
B35430      10    Yes    00006683-0000668A        8
B35440      22    No     0000668B-000066B1       27
B35462      22    Yes    000066B2-000066B9        8
B35484      24    No     000066BA-000066E2       29
B354A8      18    Yes    000066E3-000066EA        8
B354C0      28    No     000066EB-00006717       2D
B354E8      18    Yes    00006718-0000671F        8
B35500      18    Yes    00006720-00006727        8
B35518      17    No     00006728-00006743       1C
B3552F      11    Yes    00006744-0000674B        8
B35540      21    No     0000674C-00006771       26
B35561      23    Yes    00006772-00006779        8
B35584      24    No     0000677A-000067A2       29
B355A8      18    Yes    000067A3-000067AA        8
B355C0       F    Yes    000067AB-000067B2        8
B355CF      15    No     000067B3-000067CC       1A
B355E4      1C    Yes    000067CD-000067D4        8
B35600      28    No     000067D5-00006801       2D
B35628      18    Yes    00006802-00006809        8
B35640      28    No     0000680A-00006836       2D
B35668      18    Yes    00006837-0000683E        8
B35680      28    No     0000683F-0000686B       2D
B356A8      18    Yes    0000686C-00006873        8
B356C0      23    No     00006874-0000689B       28
B356E3     8DC    Yes    0000689C-000068A3        8
B35FBF       1    No     000068A4-000068A9        6
B35FC0      31    Yes    000068AA-000068B1        8
B35FF1       D    No     000068B2-000068C3       12
B35FFE      BC    Yes    000068C4-000068CB        8
B360BA       4    No     000068CC-000068D4        9
B360BE     131    Yes    000068D5-000068DC        8
B361EF      11    No     000068DD-000068F2       16
B36200      1C    Yes    000068F3-000068FA        8
B3621C      22    No     000068FB-00006921       27
B3623E     1A8    Yes    00006922-00006929        8
B363E6      1A    No     0000692A-00006948       1F
B36400      20    Yes    00006949-00006950        8
B36420      1E    No     00006951-00006973       23
B3643E      34    Yes    00006974-0000697B        8
B36472       D    No     0000697C-0000698D       12
B3647F      25    Yes    0000698E-00006995        8
B364A4      1C    No     00006996-000069B6       21
B364C0      28    Yes    000069B7-000069BE        8
B364E8      11    No     000069BF-000069D4       16
B364F9      70    Yes    000069D5-000069DC        8
B36569      17    No     000069DD-000069F8       1C
B36580     186    Yes    000069F9-00006A00        8
B36706      77    No     00006A01-00006A7C       7C
B3677D      52    Yes    00006A7D-00006A84        8
B367CF      71    No     00006A85-00006AFA       76
B36840      3E    Yes    00006AFB-00006B02        8
B3687E       2    No     00006B03-00006B09        7
B36880      30    Yes    00006B0A-00006B11        8
B368B0      10    No     00006B12-00006B26       15
B368C0      86    Yes    00006B27-00006B2E        8
B36946      77    No     00006B2F-00006BAA       7C
B369BD     185    Yes    00006BAB-00006BB2        8
B36B42     117    No     00006BB3-00006CCE      11C
B36C59      1B    Yes    00006CCF-00006CD6        8
B36C74       C    No     00006CD7-00006CE7       11
B36C80      2F    Yes    00006CE8-00006CEF        8
B36CAF      52    No     00006CF0-00006D46       57
B36D01     185    Yes    00006D47-00006D4E        8
B36E86      8B    No     00006D4F-00006DDE       90
B36F11      1E    Yes    00006DDF-00006DE6        8
B36F2F      27    No     00006DE7-00006E12       2C
B36F56      12    Yes    00006E13-00006E1A        8
B36F68      A8    No     00006E1B-00006EC7       AD
B37010      1A    Yes    00006EC8-00006ECF        8
B3702A      E6    No     00006ED0-00006FBA       EB
B37110      1B    Yes    00006FBB-00006FC2        8
B3712B      6D    No     00006FC3-00007034       72
B37198      28    Yes    00007035-0000703C        8
B371C0      C0    No     0000703D-00007101       C5
B37280      1E    Yes    00007102-00007109        8
B3729E      43    No     0000710A-00007151       48
B372E1      15    Yes    00007152-00007159        8
B372F6     186    No     0000715A-000072E4      18B
B3747C     189    Yes    000072E5-000072EC        8
B37605     119    No     000072ED-0000740A      11E
B3771E      19    Yes    0000740B-00007412        8
B37737     155    No     00007413-0000756C      15A
B3788C      23    Yes    0000756D-00007574        8
B378AF     159    No     00007575-000076D2      15E
B37A08       F    Yes    000076D3-000076DA        8
B37A17     1E4    No     000076DB-000078C3      1E9
B37BFB     189    Yes    000078C4-000078CB        8
B37D84       4    No     000078CC-000078D4        9
B37D88      38    Yes    000078D5-000078DC        8
B37DC0       8    No     000078DD-000078E9        D
B37DC8      38    Yes    000078EA-000078F1        8
B37E00       8    No     000078F2-000078FE        D
B37E08      38    Yes    000078FF-00007906        8
B37E40       4    No     00007907-0000790F        9
B37E44      3C    Yes    00007910-00007917        8
B37E80       7    No     00007918-00007923        C
B37E87      3D    Yes    00007924-0000792B        8
B37EC4       4    No     0000792C-00007934        9
B37EC8      38    Yes    00007935-0000793C        8
B37F00       2    No     0000793D-00007943        7
B37F02      41    Yes    00007944-0000794B        8
B37F43       5    No     0000794C-00007955        A
B37F48      38    Yes    00007956-0000795D        8
B37F80       8    No     0000795E-0000796A        D
B37F88      38    Yes    0000796B-00007972        8
B37FC0       8    No     00007973-0000797F        D
B37FC8      38    Yes    00007980-00007987        8
B38000       3    No     00007988-0000798F        8
B38003      3E    Yes    00007990-00007997        8
B38041      16    No     00007998-000079B2       1B
B38057      29    Yes    000079B3-000079BA        8
B38080       F    No     000079BB-000079CE       14
B3808F      33    Yes    000079CF-000079D6        8
B380C2      7D    No     000079D7-00007A58       82
B3813F      82    Yes    00007A59-00007A60        8
B381C1       4    No     00007A61-00007A69        9
B381C5      41    Yes    00007A6A-00007A71        8
B38206       2    No     00007A72-00007A78        7
B38208      38    Yes    00007A79-00007A80        8
B38240       8    No     00007A81-00007A8D        D
B38248      38    Yes    00007A8E-00007A95        8
B38280       6    No     00007A96-00007AA0        B
B38286      3D    Yes    00007AA1-00007AA8        8
B382C3       5    No     00007AA9-00007AB2        A
B382C8      38    Yes    00007AB3-00007ABA        8
B38300       8    No     00007ABB-00007AC7        D
B38308      38    Yes    00007AC8-00007ACF        8
B38340       3    No     00007AD0-00007AD7        8
B38343     503    Yes    00007AD8-00007ADF        8
B38846      2A    No     00007AE0-00007B0E       2F
B38870      10    Yes    00007B0F-00007B16        8
B38880      2B    No     00007B17-00007B46       30
B388AB     3DC    Yes    00007B47-00007B4E        8
B38C87      59    No     00007B4F-00007BAC       5E
B38CE0      1A    Yes    00007BAD-00007BB4        8
B38CFA       6    No     00007BB5-00007BBF        B
B38D00       E    Yes    00007BC0-00007BC7        8
B38D0E      6E    No     00007BC8-00007C3A       73
B38D7C     290    Yes    00007C3B-00007C42        8
B3900C      34    No     00007C43-00007C7B       39
B39040      10    Yes    00007C7C-00007C83        8
B39050      30    No     00007C84-00007CB8       35
B39080      20    Yes    00007CB9-00007CC0        8
B390A0      20    No     00007CC1-00007CE5       25
B390C0      20    Yes    00007CE6-00007CED        8
B390E0      1C    No     00007CEE-00007D0E       21
B390FC     152    Yes    00007D0F-00007D16        8
B3924E      6E    No     00007D17-00007D89       73
B392BC     149    Yes    00007D8A-00007D91        8
B39405      68    No     00007D92-00007DFE       6D
B3946D      15    Yes    00007DFF-00007E06        8
B39482      7E    No     00007E07-00007E89       83
B39500      10    Yes    00007E8A-00007E91        8
B39510      B0    No     00007E92-00007F46       B5
B395C0      1C    Yes    00007F47-00007F4E        8
B395DC      24    No     00007F4F-00007F77       29
B39600      18    Yes    00007F78-00007F7F        8
B39618      28    No     00007F80-00007FAC       2D
B39640      12    Yes    00007FAD-00007FB4        8
B39652      2E    No     00007FB5-00007FE7       33
B39680      20    Yes    00007FE8-00007FEF        8
B396A0      1B    No     00007FF0-0000800F       20
B396BB      1C    Yes    00008010-00008017        8
B396D7      29    No     00008018-00008045       2E
B39700      10    Yes    00008046-0000804D        8
B39710      30    No     0000804E-00008082       35
B39740      2C    Yes    00008083-0000808A        8
B3976C      C6    No     0000808B-00008155       CB
B39832       E    Yes    00008156-0000815D        8
B39840      3C    No     0000815E-0000819E       41
B3987C      68    Yes    0000819F-000081A6        8
B398E4      1C    No     000081A7-000081C7       21
B39900      28    Yes    000081C8-000081CF        8
B39928      18    No     000081D0-000081EC       1D
B39940      27    Yes    000081ED-000081F4        8
B39967      19    No     000081F5-00008212       1E
B39980      11    Yes    00008213-0000821A        8
B39991      AA    No     0000821B-000082C9       AF
B39A3B     14A    Yes    000082CA-000082D1        8
B39B85      39    No     000082D2-0000830F       3E
